HomeTeam,AwayTeam,Result,Home.Score,Away.Score,Home.Odds,Draw.Odds,Away.Odds
Chelsea,West Brom,Chelsea,3,0,1.19,6.3,15.2
Chelsea,Tottenham,Chelsea,3,0,1.37,4.82,9.16
Chelsea,Hull,Chelsea,2,0,1.09,7.12,18.31
Chelsea,West Ham,Chelsea,2,0,1.32,5.4,9.8
Chelsea,Newcastle,Chelsea,2,0,1.12,6.32,16.65
Chelsea,Burnley,Chelsea,1,0,1.12,6.75,17
Chelsea,Stoke,Chelsea,2,1,1.25,5.58,12.66
Chelsea,Crystal Palace,Chelsea,1,0,1.32,5.23,9.89
Chelsea,Sunderland,Chelsea,2,1,1.32,5.32,10.65
Chelsea,Hull,Chelsea,3,0,1.14,6.62,16.75
Chelsea,Aston Villa,Chelsea,2,1,1.23,5.64,10.92
Chelsea,Fulham,Chelsea,2,0,1.26,5.62,11.91
Chelsea,Cardiff,Chelsea,4,1,1.19,6.04,13.64
Chelsea,Man City,Chelsea,2,0,2.38,3.31,3.16
Chelsea,Southampton,Chelsea,2,1,1.47,4.3,7.56
Chelsea,Crystal Palace,Chelsea,3,1,1.11,7.27,18.66
Chelsea,Swansea,Chelsea,1,0,1.31,5.21,9.41
Chelsea,Liverpool,Chelsea,3,1,2.17,3.38,3.49
Chelsea,Man United,Chelsea,3,0,1.77,3.75,4.73
Chelsea,Newcastle,Chelsea,3,0,1.23,5.63,13.47
Chelsea,Tottenham,Chelsea,4,0,1.53,3.87,6.62
Chelsea,Arsenal,Chelsea,6,0,1.95,3.45,4.42
Chelsea,Stoke,Chelsea,2,0,1.2,5.79,13.49
Chelsea,Reading,Chelsea,4,2,1.24,5.78,13.09
Chelsea,Newcastle,Chelsea,3,0,1.48,4.31,6.93
Chelsea,Norwich,Chelsea,5,1,1.2,6.19,15.52
Chelsea,Liverpool,Chelsea,1,0,1.94,3.6,4.27
Chelsea,Aston Villa,Chelsea,8,0,1.37,5.16,9.79
Chelsea,Southampton,Chelsea,3,2,1.21,6.41,12.9
Chelsea,Arsenal,Chelsea,3,1,1.94,3.58,4.26
Chelsea,Wigan,Chelsea,4,1,1.35,5.43,10.38
Chelsea,West Brom,Chelsea,1,0,1.43,4.72,9.17
Chelsea,West Ham,Chelsea,3,1,1.37,5.07,9.57
Chelsea,Sunderland,Chelsea,2,1,1.26,5.21,11.14
Chelsea,Swansea,Chelsea,3,0,1.3,5.6,10.98
Chelsea,Everton,Chelsea,2,1,1.64,3.99,6.11
Chelsea,Middlesborough,Chelsea,1,0,4.67,3.35,3.11
Chelsea,Crystal Palace,Crystal Palace,1,2,1.34,5.1,10.11
Chelsea,Swansea,Draw,3,3,1.31,4.88,10.63
Chelsea,Norwich,Draw,1,1,1.37,4.81,8.93
Chelsea,Bournemouth,Draw,0,0,1.32,5.1,9.47
Chelsea,Watford,Draw,2,2,1.38,4.61,8.32
Chelsea,West Brom,Draw,2,2,1.37,4.55,9.03
Chelsea,Everton,Draw,2,2,1.8,3.73,4.93
Chelsea,Man United,Draw,0,0,2.17,3.27,3.78
Chelsea,Stoke,Draw,1,1,1.49,4.14,7.48
Chelsea,West Ham,Draw,2,2,1.7,3.84,5.2
Chelsea,Tottenham,Draw,3,3,2.75,3.38,2.63
Chelsea,Leicester,Draw,0,0,2.27,3.57,3.23
Chelsea,Man City,Draw,1,1,2.09,3.47,3.89
Chelsea,Everton,Draw,1,1,1.28,5.2,10.02
Chelsea,Southampton,Draw,1,1,1.57,4.06,6.94
Chelsea,Man United,Draw,1,1,1.99,3.45,4.11
Chelsea,Liverpool,Draw,1,1,2.1,3.36,3.82
Chelsea,West Brom,Draw,2,2,1.22,5.69,11.78
Chelsea,West Ham,Draw,0,0,1.18,6.97,17.57
Chelsea,Everton,Draw,1,1,1.54,4.1,6.97
Chelsea,Norwich,Draw,0,0,1.14,6.49,15.8
Chelsea,Stoke,Draw,1,1,1.3,4.8,10.11
Chelsea,Man United,Draw,3,3,2.45,3.44,3.01
Chelsea,Man City,Draw,0,0,2.63,3.31,2.69
Chelsea,Fulham,Draw,1,1,1.45,4.45,7.7
Chelsea,QPR,Draw,1,1,1.17,6.39,15.57
Chelsea,Tottenham,Draw,3,3,1.9,3.65,4.31
Chelsea,Liverpool,Liverpool,1,2,2.12,3.35,3.77
Chelsea,Man City,Man City,0,2,2.6,3.31,2.73
Chelsea,Southampton,Southampton,1,2,1.78,3.67,5.1
